Eggs,Milk,Bread,Day
4.471192405206605,2.7599628596398573,1.9777414757921115,1
4.281298550908976,2.780302519716711,1.9870548754113464,2
4.297762590800641,2.926754309848421,1.91027160272402,3
4.156299631421097,2.6104783644006453,2.037916275308964,4
4.841136994226402,3.1028178217337437,1.9031401747118237,5
5.246538687361469,3.4109766636113688,2.1501907504879014,6
4.780379957951942,3.090460980811687,1.9634099185547296,7
4.666833867862357,2.997388253366646,2.0383298984593425,8
4.85089712014836,3.033983407881155,2.314038617623996,9
4.404189486772436,3.1055160081639936,2.1145096355427304,10
4.2969184172834165,3.1794665920805234,1.6567770961397597,11
4.762845974923478,3.0453807765037433,2.0571050482162168,12
4.511770770546229,2.9116935154549015,2.0226262128884533,13
3.9659989468636074,2.988225798880362,1.693586624833302,14
3.936232647355653,2.6065418514928824,1.9530095621328578,15
4.247604104480845,2.768621473591329,2.1298117116613726,16
4.764076596079666,3.135123306074126,2.2970410172903994,17
4.659149264068337,3.021825054907819,2.0082273942254285,18
5.052700592352591,3.1782870701029573,1.8870399066142989,19
4.879238961468379,3.1842770762439816,2.0151931563508843,20
4.751335523288758,3.3808081438594337,2.081361009963106,21
5.186323377174474,3.4337679936905787,2.1239832727098658,22
4.460443960992227,3.1454946153725687,2.016051215066444,23
4.923677298739056,3.0884801115189306,2.0715634333932518,24
4.708044322073571,3.2611790362701627,2.2209985981233964,25
4.9903862451539585,3.270528497661081,2.1211085140856087,26
4.008456268268822,2.6888562115816548,2.0842462812278573,27
4.617261182385959,2.868725574273172,1.942320045517462,28
4.263900154039951,2.8392756400641175,1.8238041973936645,29
4.290653379796589,2.834006781893699,1.7660980971968052,30
4.393563804584447,3.0320529840413353,1.7446394283858213,31
4.147770191279258,3.071964772266753,1.8037493815966077,32
3.974115487243779,2.602635184241114,1.6356756516105502,33
4.884044657368773,3.3159955051467933,2.1755104197208084,34
4.004780642447225,2.8480501948640535,2.0663308015909627,35
4.6591279381245725,2.891116709137136,2.1850185957749386,36
4.556071004292546,2.957277275025429,2.1032648790963226,37
4.033008564629537,2.613908032904348,1.9903280248162063,38
4.522478281738085,2.9727655359478007,1.973192990249794,39
4.3264963530612395,2.82527074495109,2.009075706494091,40
4.107958197560831,2.616976500933289,1.7742981224070011,41
3.6326205313018654,2.5550137903228807,1.7667403557976484,42
3.7331245845223684,2.6357641797628526,1.6033167069373846,43
4.341812735227222,2.8973716460295007,1.8397387457526078,44
4.352600943913528,2.8237722616243586,1.8379454820280618,45
4.013232793936764,2.716283921031049,1.85322234745921,46
5.436885796497566,3.6271252526031446,2.1011370125605535,47
4.1659593059234785,3.0107732193532564,2.1178282474644554,48
5.010022955453084,3.2804197113627978,2.0949517133204547,49
4.600113595728583,3.2190314770569763,1.9280835183160947,50
4.826778608439692,3.5269531524142073,2.179293077660859,51
4.805599879780597,2.9270131913547606,2.0270215135857903,52
4.332087455496198,2.886676026004212,1.8031870282176599,53
4.63526534707547,3.1660505227167706,1.9815363378085746,54
4.623190935932899,2.812726388065669,2.1316355752995206,55
4.38972175528794,2.7829259407721714,2.068530293878903,56
4.540529539028465,3.1076945486294716,2.073097607068986,57
3.825750340897465,2.7462061928373527,1.9691480103526449,58
4.329790223214296,3.253646806995709,1.8626690895308025,59
4.826859016142543,3.4226226271278395,2.10295998375152,60
4.7436141667109,3.360170638550787,2.1342975037081127,61
4.67406610851622,3.4386787733722812,2.1629929500092695,62
4.087447927579394,2.9580094504936945,2.1009441730917504,63
4.8112659990948,3.303873069739285,2.053995613170809,64
4.386390969304934,2.7888798696034875,1.9922611457987318,65
5.361347671454723,3.6418242031747794,2.4291496932790206,66
4.646586160450235,3.3492617570168264,2.1604168856607164,67
4.420846283074345,3.1221191954722096,2.090673562989114,68
4.384804564757207,3.0719254367389537,2.1050017057971107,69
4.562739752850064,3.2040496348984293,1.9152583532807201,70
3.6783304226684956,2.9154339853570446,1.6565375774293056,71
4.308223077624155,3.1748546767987467,1.7886306325489791,72
4.208817252959503,3.230668700552604,1.992124886270998,73
4.490728417812772,3.000413208759436,1.9913962856583574,74
5.098799833247331,3.022704085443681,1.9798651071204965,75
3.5372996439948894,2.3366512534340242,1.7032205113872394,76
4.732877100116475,3.281075970720481,2.1002378490017533,77
2.949757200279083,2.5912450866713366,1.675544190165143,78
4.29194130816434,3.101607081607201,2.0521553164865938,79
4.016734862125682,2.996415612001916,1.8441206195048996,80
3.570486130798912,2.553701693040891,1.6499070719889644,81
3.8603566925102566,2.9646254625168065,2.054537729582733,82
4.64884300301144,2.9344503691183266,1.8757399329904618,83
4.073759968426278,2.8188975245768226,2.0223917570317163,84
3.6648171308538826,2.797589849897255,1.5142175632407173,85
4.6791411469103155,3.0005337878381346,1.9576172630094166,86
4.978691250217825,3.149414133621554,2.207243292703003,87
5.016302144868187,3.3843487068661116,2.276330563352695,88
5.203537362673114,3.425899001803491,2.1817171930829558,89
5.616254030230806,3.3607285301020835,2.314208053951225,90
3.711079648188756,2.4725954901357374,1.8448997698928005,91
4.614729563728255,3.306249889326859,2.1310434864782435,92
4.458195362523771,2.932464845757861,1.911732561530063,93
5.027820225061715,3.0028106634784466,2.300567486954972,94
4.6213079195296025,2.9873801062254626,1.7986590519700796,95
3.3074061644102497,2.5837337433686134,1.520408408352739,96
4.512313715751619,2.9283157066222962,1.5534958005476538,97
3.793351758934796,2.7050024594766686,1.5923716400353878,98
5.473523850073395,3.4871853972204376,2.466865481182045,99
4.359496539820925,2.8743144996169283,1.9871038621025783,100
